track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
6ZOdsfgq6ygEPnG3nCIY8L,Ghosts,Letter To You,Bruce Springsteen,2020-10-23,354813,53,0.532,0.000146,0.736,0.000961,0.292,-6.901,0.0383,125.105,4
0R9q3imnid244T1ty47MGs,Lonesome Day,The Rising,Bruce Springsteen,2002-07-30,245360,53,0.507,0.00209,0.927,6.9e-06,0.0975,-6.053,0.0343,110.208,4
2mOGLiSTUeki1l9t1BBNRQ,If I Should Fall Behind,Lucky Town,Bruce Springsteen,1992-03-31,177733,51,0.717,0.22,0.221,2.17e-05,0.119,-14.935,0.0327,112.713,4
47pgnnmY0R0spkwAMMWpNq,Because the Night,The Promise,Bruce Springsteen,2010-11-16,205146,53,0.342,0.0895,0.789,0.000142,0.116,-5.757,0.0394,113.027,4
4Ngh6rMVUCOFK30oO0iEMD,Letter To You,Letter To You,Bruce Springsteen,2020-10-23,295493,52,0.546,0.000864,0.808,8.69e-05,0.113,-7.413,0.0338,118.117,4
7zrHnJ87htwgS20PzFmgTr,Radio Nowhere,Magic,Bruce Springsteen,2007-09-25,199066,53,0.395,0.00962,0.955,0.0,0.36,-3.799,0.0488,140.219,4
0NdXIfsa0zFZDcCVpUfHQi,Do I Love You (Indeed I Do),Only the Strong Survive,Bruce Springsteen,2022-11-11,147040,51,0.546,0.00297,0.938,0.0,0.0823,-2.96,0.0351,133.96,4
4cKJsZuzbNBpdxeMC9pBQG,Backstreets,Born To Run,Bruce Springsteen,1975-08-25,390146,53,0.225,0.201,0.889,0.734,0.379,-4.371,0.0337,96.02,4
2uI2KlfpxGGVnLnpNWdhHS,I'll See You In My Dreams,Letter To You,Bruce Springsteen,2020-10-23,209306,52,0.491,0.000734,0.744,8.62e-06,0.118,-6.409,0.0319,116.067,4
3zG1YiTu53KCt8W56psgs2,Pink Cadillac - Single B-Side - 1984,Tracks,Bruce Springsteen,1998-11-10,213066,50,0.636,0.367,0.924,0.0,0.243,-4.886,0.0758,129.337,4
4LKlmGTWGY8SHfIw0c9jQu,Wrecking Ball,Wrecking Ball,Bruce Springsteen,2012-03-06,347600,51,0.455,0.0441,0.646,0.0,0.102,-7.416,0.0311,117.88,4
3ICZte49haM8ID7H6LSSjb,One Step Up,Tunnel Of Love,Bruce Springsteen,1987-10-09,261826,49,0.527,0.0546,0.381,0.00965,0.0842,-17.408,0.0299,150.162,4
1LQDe2LxhReHitq7sdgLcN,Last Man Standing,Letter To You,Bruce Springsteen,2020-10-23,245840,50,0.56,0.00331,0.767,0.00968,0.323,-7.978,0.0301,111.984,4
5St2IxnaIYOPflaomWB3Pz,She's the One,Born To Run,Bruce Springsteen,1975-08-25,270266,51,0.34,0.124,0.851,0.123,0.216,-5.5,0.0497,91.871,4
4RaxnzmTN4bojbbEYtvXjk,The Ghost of Tom Joad,The Ghost Of Tom Joad,Bruce Springsteen,1995-11-21,263466,51,0.445,0.43,0.0975,0.284,0.142,-16.906,0.0357,88.495,4
4Z80C8NlDd1AO4axf1O3n0,Rosalita (Come Out Tonight),"The Wild, the Innocent & The E Street Shuffle",Bruce Springsteen,1973-09-11,420840,52,0.282,0.0305,0.938,0.000161,0.25,-5.664,0.0808,154.385,4
5bpaHLJ08GNBKW35ZfCYJy,Hello Sunshine,Western Stars,Bruce Springsteen,2019-06-14,234240,48,0.546,0.438,0.438,0.0443,0.192,-10.29,0.032,120.022,4
