track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
7k0QYUgeKHmNuroFKUbQbw,150763,55,0.521,0.167,0.7,0.0,0.115,-6.214,0.189,95.074,4,0
5b3XJ1pjrHO5JtY2PcTjnI,156988,87,0.892,0.033,0.531,0.0,0.0824,-4.968,0.207,81.036,4,0
0PHrcmOtDE89ew4vVEaD7S,147706,76,0.68,0.00585,0.794,0.0,0.473,-4.534,0.0414,130.109,4,0
6O3WfmAQIgnLBGVzZJVS40,104470,75,0.614,0.00923,0.463,0.0,0.263,-7.052,0.189,112.789,5,0
2MjXWroB9wlTG2kqv3avfS,148551,77,0.811,0.0957,0.64,0.0,0.127,-5.63,0.274,145.031,4,0
083HuPvgqYBLUiv82bVxwE,165270,72,0.766,0.717,0.724,0.0,0.15,-5.145,0.18,163.119,4,0
7mOC6phfrfz3jfigg1aGsE,156444,79,0.919,0.0226,0.629,0.0,0.146,-5.17,0.376,135.05,4,0
3Ojk8AKbhBtEW0UrCCbAn7,243902,61,0.696,0.212,0.562,0.0,0.174,-7.543,0.11,123.0,4,0
2FoahzOSxJnalPA8aBUme3,198292,74,0.652,0.122,0.806,1.08e-05,0.842,-5.707,0.302,159.947,4,0
2dk1fsLg7YEsKJdVm4P5cu,263449,68,0.242,0.179,0.897,0.0,0.176,-4.018,0.191,80.297,4,0
3vg3cG1nFVe8Gru8pvgUEZ,151200,63,0.576,0.489,0.601,0.0,0.193,-7.455,0.25,95.742,4,0
13hJUmR1UpCUzyHjotiImK,153693,77,0.593,0.172,0.809,0.0,0.354,-6.123,0.254,150.216,4,0
7wtUI2bKLWZ23GOmzMkU1Q,175656,67,0.959,0.0196,0.375,0.0,0.101,-7.701,0.149,104.981,4,0
5OVxJ4th1sKz83BPspqMJ3,153786,66,0.881,0.109,0.655,0.0,0.109,-5.766,0.32,140.036,4,0
4mfaQcqYhlv0X9xF2bDWxG,174133,69,0.79,0.0649,0.638,0.0,0.353,-5.38,0.455,160.058,4,0
0N3A0tvQ3ppZerKA8Gsztp,180250,66,0.777,0.0797,0.793,0.0,0.736,-4.42,0.31,152.072,4,0
4xbfYPpKIKtGU4iEK3WW2C,178359,71,0.742,0.0607,0.564,0.0,0.122,-6.675,0.271,156.916,4,0
0g3WQjlhCk9gcIVow4DigI,137904,76,0.641,0.05,0.636,0.0,0.113,-4.75,0.034,125.053,4,0
4l4gr5KjRl1msqINS47y20,200933,65,0.827,0.118,0.426,0.0,0.0864,-9.056,0.297,152.963,4,0
5In8B6Om5OKrhwBMB4tXSi,213646,83,0.885,0.121,0.662,0.0,0.109,-5.139,0.142,137.981,4,0
1uU143K4dObFyeykORAD0m,237656,62,0.723,0.326,0.512,0.0,0.127,-7.084,0.123,96.683,4,0
3C8lsLOz4Jk0ELFpf0eUIk,164074,62,0.708,0.00177,0.554,0.0,0.341,-6.423,0.218,79.02,4,0
5NuUKKMA2qsltM1DnSJZLL,238493,61,0.681,0.763,0.409,2.8e-06,0.0823,-10.48,0.0283,129.982,4,0
65M92JpTbAdHmTQm4jGaDa,222800,73,0.671,0.187,0.418,0.215,0.132,-14.124,0.0371,91.866,4,0
5iJKGpnFfvbjZJeAtwXfCj,233333,86,0.492,0.227,0.519,8.47e-05,0.0693,-6.886,0.0288,80.868,3,0
0y5Ex8oQ8zCH5TQxHUy1Eo,224280,83,0.663,0.353,0.675,0.0,0.21,-5.851,0.0321,128.942,4,0
7221xIgOnuakPdLqT0F3nP,178205,95,0.638,0.00757,0.855,0.0,0.245,-4.86,0.0264,127.986,4,0
3Rfre3qkrhwdZZ7dyznwbN,189356,77,0.549,0.0103,0.679,0.0,0.365,-5.501,0.0346,100.214,4,0
4pkb8SbRGeHAvdb87v9rpf,168355,85,0.634,0.00537,0.761,0.0,0.549,-4.752,0.0472,129.963,4,0
4SrGX1rwNtpiTx5BLQpggt,199728,65,0.515,0.258,0.844,0.0,0.0918,-3.062,0.0447,145.864,4,0
7fveJ3pk1eSfxBdVkzdXZ0,181621,86,0.621,0.216,0.779,8.62e-06,0.165,-3.777,0.0361,172.037,4,0
